forecast_month,region,product_id,product,predicted_revenue,predicted_profit,growth_percent,confidence,lower_bound,upper_bound,forecast_reason
2026-06,North,P001,CloudSync Pro,73091.7,47509.61,14.0,88,65782.53,80400.87,Holiday budget allocation expected to boost sales
2026-06,North,P002,DataVault Enterprise,145625.56,90287.85,8.0,84,131063.0,160188.12,Supplier delay resolved -- full inventory restored
2026-06,North,P003,NetShield Plus,48970.5,34279.35,11.5,92,44073.45,53867.55,YoY growth trajectory maintained from 2025 H2
2026-06,North,P004,AnalyticsEdge,92202.28,55321.37,5.6,85,82982.05,101422.51,Marketing campaigns scheduled for Q4 2026
2026-06,North,P005,ConnectBridge,58299.38,39643.58,13.0,96,52469.44,64129.32,Back-to-school and IT procurement cycle
2026-06,North,P006,StorageMax HDD,199817.47,89917.86,13.6,97,179835.72,219799.22,Expected recovery following May 2026 stockout resolution
2026-06,North,P007,ServerLink X1,319930.82,127972.33,6.1,94,287937.74,351923.9,Expected recovery following May 2026 stockout resolution
2026-06,North,P008,CyberAudit Suite,117903.42,84890.46,12.3,95,106113.08,129693.76,Optimistic estimate based on South expansion momentum
2026-06,North,P009,WorkflowPro,48780.67,32683.05,13.8,76,43902.6,53658.74,Marketing campaigns scheduled for Q4 2026
2026-06,North,P010,InsightDash,81883.11,51586.36,10.8,90,73694.8,90071.42,Expected recovery following May 2026 stockout resolution
2026-06,North,P011,APIGateway Pro,63375.24,43728.92,8.7,82,57037.72,69712.76,Post-Q2 recovery driven by H2 seasonality
2026-06,North,P012,BackupCloud Ultra,39111.1,27768.88,10.3,89,35199.99,43022.21,Supplier delay resolved -- full inventory restored
2026-06,South,P001,CloudSync Pro,67423.59,43825.33,14.2,83,60681.23,74165.95,Supplier delay resolved -- full inventory restored
2026-06,South,P002,DataVault Enterprise,126955.02,78712.11,7.6,82,114259.52,139650.52,Post-Q2 recovery driven by H2 seasonality
2026-06,South,P003,NetShield Plus,44895.17,31426.62,5.5,80,40405.65,49384.69,Supplier delay resolved -- full inventory restored
2026-06,South,P004,AnalyticsEdge,100293.27,60175.96,5.4,72,90263.94,110322.6,Supplier delay resolved -- full inventory restored
2026-06,South,P005,ConnectBridge,64672.42,43977.25,7.8,78,58205.18,71139.66,Post-Q2 recovery driven by H2 seasonality
2026-06,South,P006,StorageMax HDD,217895.27,98052.87,8.2,97,196105.74,239684.8,Expected recovery following May 2026 stockout resolution
2026-06,South,P007,ServerLink X1,337157.21,134862.88,4.1,95,303441.49,370872.93,Enterprise contract renewals projected in Q3
2026-06,South,P008,CyberAudit Suite,132080.36,95097.86,13.2,87,118872.32,145288.4,Optimistic estimate based on South expansion momentum
2026-06,South,P009,WorkflowPro,56388.33,37780.18,11.8,91,50749.5,62027.16,Post-Q2 recovery driven by H2 seasonality
2026-06,South,P010,InsightDash,93670.84,59012.63,7.9,92,84303.76,103037.92,Conservative estimate pending East region recovery
2026-06,South,P011,APIGateway Pro,69415.82,47896.92,5.1,96,62474.24,76357.4,YoY growth trajectory maintained from 2025 H2
2026-06,South,P012,BackupCloud Ultra,37869.49,26887.34,12.2,73,34082.54,41656.44,Supplier delay resolved -- full inventory restored
2026-06,East,P001,CloudSync Pro,73460.53,47749.34,5.0,85,66114.48,80806.58,Back-to-school and IT procurement cycle
2026-06,East,P002,DataVault Enterprise,124578.93,77238.94,12.3,94,112121.04,137036.82,Conservative estimate pending East region recovery
2026-06,East,P003,NetShield Plus,44308.94,31016.26,12.9,88,39878.05,48739.83,Marketing campaigns scheduled for Q4 2026
2026-06,East,P004,AnalyticsEdge,112619.04,67571.42,2.8,82,101357.14,123880.94,YoY growth trajectory maintained from 2025 H2
2026-06,East,P005,ConnectBridge,61215.22,41626.35,12.6,92,55093.7,67336.74,Holiday budget allocation expected to boost sales
2026-06,East,P006,StorageMax HDD,223952.86,100778.79,4.2,75,201557.57,246348.15,Marketing campaigns scheduled for Q4 2026
2026-06,East,P007,ServerLink X1,300703.77,120281.51,10.3,89,270633.39,330774.15,Supplier delay resolved -- full inventory restored
2026-06,East,P008,CyberAudit Suite,115502.45,83161.76,11.7,89,103952.21,127052.7,Supplier delay resolved -- full inventory restored
2026-06,East,P009,WorkflowPro,53375.47,35761.56,7.8,85,48037.92,58713.02,Supplier delay resolved -- full inventory restored
2026-06,East,P010,InsightDash,87252.53,54969.09,12.6,96,78527.28,95977.78,Expected recovery following May 2026 stockout resolution
2026-06,East,P011,APIGateway Pro,64008.78,44166.06,4.5,93,57607.9,70409.66,Post-Q2 recovery driven by H2 seasonality
2026-06,East,P012,BackupCloud Ultra,32883.51,23347.29,13.8,90,29595.16,36171.86,Optimistic estimate based on South expansion momentum
2026-06,West,P001,CloudSync Pro,75276.41,48929.67,12.5,91,67748.77,82804.05,Expected recovery following May 2026 stockout resolution
2026-06,West,P002,DataVault Enterprise,134032.61,83100.22,9.3,89,120629.35,147435.87,Enterprise contract renewals projected in Q3
2026-06,West,P003,NetShield Plus,41617.62,29132.33,9.2,85,37455.86,45779.38,YoY growth trajectory maintained from 2025 H2
2026-06,West,P004,AnalyticsEdge,100524.54,60314.72,11.7,96,90472.09,110576.99,Back-to-school and IT procurement cycle
2026-06,West,P005,ConnectBridge,59175.54,40239.37,8.0,72,53257.99,65093.09,Conservative estimate pending East region recovery
2026-06,West,P006,StorageMax HDD,219030.11,98563.55,12.5,91,197127.1,240933.12,Holiday budget allocation expected to boost sales
2026-06,West,P007,ServerLink X1,323064.46,129225.78,9.5,77,290758.01,355370.91,Post-Q2 recovery driven by H2 seasonality
2026-06,West,P008,CyberAudit Suite,102489.58,73792.5,10.8,89,92240.62,112738.54,Back-to-school and IT procurement cycle
2026-06,West,P009,WorkflowPro,47240.8,31651.34,3.5,96,42516.72,51964.88,Back-to-school and IT procurement cycle
2026-06,West,P010,InsightDash,93703.13,59032.97,6.1,92,84332.82,103073.44,Optimistic estimate based on South expansion momentum
2026-06,West,P011,APIGateway Pro,68804.08,47474.82,3.9,83,61923.67,75684.49,Optimistic estimate based on South expansion momentum
2026-06,West,P012,BackupCloud Ultra,35635.2,25300.99,7.5,72,32071.68,39198.72,Supplier delay resolved -- full inventory restored
2026-06,Central,P001,CloudSync Pro,73725.13,47921.33,3.3,82,66352.62,81097.64,Conservative estimate pending East region recovery
2026-06,Central,P002,DataVault Enterprise,144389.06,89521.22,2.5,80,129950.15,158827.97,Optimistic estimate based on South expansion momentum
2026-06,Central,P003,NetShield Plus,42336.76,29635.73,14.0,80,38103.08,46570.44,Back-to-school and IT procurement cycle
2026-06,Central,P004,AnalyticsEdge,102416.07,61449.64,8.7,96,92174.46,112657.68,Holiday budget allocation expected to boost sales
2026-06,Central,P005,ConnectBridge,67124.95,45644.97,5.4,73,60412.46,73837.45,Enterprise contract renewals projected in Q3
2026-06,Central,P006,StorageMax HDD,226645.45,101990.45,10.8,95,203980.91,249310.0,Expected recovery following May 2026 stockout resolution
2026-06,Central,P007,ServerLink X1,311006.03,124402.41,9.0,85,279905.43,342106.63,Marketing campaigns scheduled for Q4 2026
2026-06,Central,P008,CyberAudit Suite,116792.0,84090.24,13.6,84,105112.8,128471.2,Supplier delay resolved -- full inventory restored
2026-06,Central,P009,WorkflowPro,47201.44,31624.96,5.8,79,42481.3,51921.58,Expected recovery following May 2026 stockout resolution
2026-06,Central,P010,InsightDash,83608.89,52673.6,10.2,90,75248.0,91969.78,Post-Q2 recovery driven by H2 seasonality
2026-06,Central,P011,APIGateway Pro,71502.49,49336.72,10.3,80,64352.24,78652.74,Optimistic estimate based on South expansion momentum
2026-06,Central,P012,BackupCloud Ultra,35053.3,24887.84,10.4,92,31547.97,38558.63,Conservative estimate pending East region recovery
2026-07,North,P001,CloudSync Pro,63086.38,41006.15,2.5,86,56777.74,69395.02,Post-Q2 recovery driven by H2 seasonality
2026-07,North,P002,DataVault Enterprise,127232.08,78883.89,3.2,91,114508.87,139955.29,Enterprise contract renewals projected in Q3
2026-07,North,P003,NetShield Plus,44086.57,30860.6,6.1,86,39677.91,48495.23,Post-Q2 recovery driven by H2 seasonality
2026-07,North,P004,AnalyticsEdge,78133.79,46880.27,8.7,89,70320.41,85947.17,Post-Q2 recovery driven by H2 seasonality
2026-07,North,P005,ConnectBridge,52659.6,35808.53,13.3,74,47393.64,57925.56,Marketing campaigns scheduled for Q4 2026
2026-07,North,P006,StorageMax HDD,173704.93,78167.22,4.3,77,156334.44,191075.42,Optimistic estimate based on South expansion momentum
2026-07,North,P007,ServerLink X1,292162.25,116864.9,9.1,92,262946.03,321378.48,Holiday budget allocation expected to boost sales
2026-07,North,P008,CyberAudit Suite,105986.72,76310.44,12.6,82,95388.05,116585.39,Post-Q2 recovery driven by H2 seasonality
2026-07,North,P009,WorkflowPro,43271.3,28991.77,2.7,76,38944.17,47598.43,Conservative estimate pending East region recovery
2026-07,North,P010,InsightDash,72389.88,45605.62,9.5,82,65150.89,79628.87,Optimistic estimate based on South expansion momentum
2026-07,North,P011,APIGateway Pro,56516.47,38996.36,10.3,92,50864.82,62168.12,Holiday budget allocation expected to boost sales
2026-07,North,P012,BackupCloud Ultra,33264.22,23617.6,7.5,72,29937.8,36590.64,Supplier delay resolved -- full inventory restored
2026-07,South,P001,CloudSync Pro,62860.22,40859.14,10.7,95,56574.2,69146.24,Optimistic estimate based on South expansion momentum
2026-07,South,P002,DataVault Enterprise,112890.81,69992.3,7.1,75,101601.73,124179.89,Enterprise contract renewals projected in Q3
2026-07,South,P003,NetShield Plus,40995.28,28696.7,7.4,76,36895.75,45094.81,Post-Q2 recovery driven by H2 seasonality
2026-07,South,P004,AnalyticsEdge,88310.98,52986.59,8.9,72,79479.88,97142.08,Back-to-school and IT procurement cycle
2026-07,South,P005,ConnectBridge,57550.08,39134.05,8.0,92,51795.07,63305.09,Enterprise contract renewals projected in Q3
2026-07,South,P006,StorageMax HDD,194262.39,87418.08,7.6,93,174836.15,213688.63,Holiday budget allocation expected to boost sales
2026-07,South,P007,ServerLink X1,292732.71,117093.08,5.1,97,263459.44,322005.98,Optimistic estimate based on South expansion momentum
2026-07,South,P008,CyberAudit Suite,116266.47,83711.86,10.3,92,104639.82,127893.12,Holiday budget allocation expected to boost sales
2026-07,South,P009,WorkflowPro,48841.66,32723.91,8.8,87,43957.49,53725.83,Post-Q2 recovery driven by H2 seasonality
2026-07,South,P010,InsightDash,79284.38,49949.16,2.6,95,71355.94,87212.82,Holiday budget allocation expected to boost sales
2026-07,South,P011,APIGateway Pro,62650.07,43228.55,13.7,76,56385.06,68915.08,Holiday budget allocation expected to boost sales
2026-07,South,P012,BackupCloud Ultra,32394.65,23000.2,13.0,78,29155.19,35634.12,Supplier delay resolved -- full inventory restored
2026-07,East,P001,CloudSync Pro,75105.1,48818.32,9.5,76,67594.59,82615.61,Back-to-school and IT procurement cycle
2026-07,East,P002,DataVault Enterprise,127591.71,79106.86,5.5,77,114832.54,140350.88,Conservative estimate pending East region recovery
2026-07,East,P003,NetShield Plus,45536.2,31875.34,9.3,84,40982.58,50089.82,Post-Q2 recovery driven by H2 seasonality
2026-07,East,P004,AnalyticsEdge,109362.3,65617.38,7.0,96,98426.07,120298.53,Marketing campaigns scheduled for Q4 2026
2026-07,East,P005,ConnectBridge,59021.9,40134.89,13.5,81,53119.71,64924.09,Back-to-school and IT procurement cycle
2026-07,East,P006,StorageMax HDD,224591.06,101065.98,4.1,96,202131.95,247050.17,Holiday budget allocation expected to boost sales
2026-07,East,P007,ServerLink X1,304812.7,121925.08,6.8,94,274331.43,335293.97,Supplier delay resolved -- full inventory restored
2026-07,East,P008,CyberAudit Suite,113676.66,81847.2,11.5,94,102308.99,125044.33,Conservative estimate pending East region recovery
2026-07,East,P009,WorkflowPro,54585.85,36572.52,12.0,96,49127.26,60044.44,Holiday budget allocation expected to boost sales
2026-07,East,P010,InsightDash,91097.41,57391.37,14.2,84,81987.67,100207.15,Holiday budget allocation expected to boost sales
2026-07,East,P011,APIGateway Pro,66667.75,46000.75,13.3,89,60000.97,73334.53,Enterprise contract renewals projected in Q3
2026-07,East,P012,BackupCloud Ultra,32653.86,23184.24,13.0,90,29388.47,35919.25,Marketing campaigns scheduled for Q4 2026
2026-07,West,P001,CloudSync Pro,69755.87,45341.32,5.5,83,62780.28,76731.46,Holiday budget allocation expected to boost sales
2026-07,West,P002,DataVault Enterprise,120133.35,74482.68,7.3,76,108120.02,132146.69,Back-to-school and IT procurement cycle
2026-07,West,P003,NetShield Plus,37757.98,26430.59,5.3,73,33982.18,41533.78,Supplier delay resolved -- full inventory restored
2026-07,West,P004,AnalyticsEdge,85785.72,51471.43,8.1,96,77207.15,94364.29,Optimistic estimate based on South expansion momentum
2026-07,West,P005,ConnectBridge,53803.97,36586.7,7.4,90,48423.57,59184.37,Expected recovery following May 2026 stockout resolution
2026-07,West,P006,StorageMax HDD,189842.23,85429.0,9.5,90,170858.01,208826.45,Marketing campaigns scheduled for Q4 2026
2026-07,West,P007,ServerLink X1,298947.88,119579.15,12.8,93,269053.09,328842.67,Enterprise contract renewals projected in Q3
2026-07,West,P008,CyberAudit Suite,90037.85,64827.25,3.1,80,81034.07,99041.64,Enterprise contract renewals projected in Q3
2026-07,West,P009,WorkflowPro,40788.93,27328.58,7.1,77,36710.04,44867.82,Supplier delay resolved -- full inventory restored
2026-07,West,P010,InsightDash,80777.1,50889.57,4.0,84,72699.39,88854.81,Supplier delay resolved -- full inventory restored
2026-07,West,P011,APIGateway Pro,59650.16,41158.61,14.1,90,53685.14,65615.18,Optimistic estimate based on South expansion momentum
2026-07,West,P012,BackupCloud Ultra,31063.65,22055.19,4.8,83,27957.29,34170.02,Supplier delay resolved -- full inventory restored
2026-07,Central,P001,CloudSync Pro,65096.04,42312.43,9.6,91,58586.44,71605.64,Enterprise contract renewals projected in Q3
2026-07,Central,P002,DataVault Enterprise,128543.71,79697.1,11.3,97,115689.34,141398.08,Conservative estimate pending East region recovery
2026-07,Central,P003,NetShield Plus,36723.82,25706.67,6.3,89,33051.44,40396.2,Marketing campaigns scheduled for Q4 2026
2026-07,Central,P004,AnalyticsEdge,92008.01,55204.81,7.3,88,82807.21,101208.81,Marketing campaigns scheduled for Q4 2026
2026-07,Central,P005,ConnectBridge,59408.93,40398.07,7.9,77,53468.04,65349.82,YoY growth trajectory maintained from 2025 H2
2026-07,Central,P006,StorageMax HDD,201557.04,90700.67,7.7,81,181401.34,221712.74,Expected recovery following May 2026 stockout resolution
2026-07,Central,P007,ServerLink X1,270806.34,108322.54,8.8,73,243725.71,297886.97,Conservative estimate pending East region recovery
2026-07,Central,P008,CyberAudit Suite,105806.19,76180.46,12.2,91,95225.57,116386.81,Back-to-school and IT procurement cycle
2026-07,Central,P009,WorkflowPro,39560.62,26505.62,4.9,88,35604.56,43516.68,Back-to-school and IT procurement cycle
2026-07,Central,P010,InsightDash,76597.85,48256.65,9.7,76,68938.07,84257.64,Enterprise contract renewals projected in Q3
2026-07,Central,P011,APIGateway Pro,64251.81,44333.75,2.9,74,57826.63,70676.99,Holiday budget allocation expected to boost sales
2026-07,Central,P012,BackupCloud Ultra,29800.79,21158.56,10.3,93,26820.71,32780.87,Marketing campaigns scheduled for Q4 2026
2026-08,North,P001,CloudSync Pro,67070.08,43595.55,4.3,91,60363.07,73777.09,Expected recovery following May 2026 stockout resolution
2026-08,North,P002,DataVault Enterprise,135300.02,83886.01,6.2,92,121770.02,148830.02,Back-to-school and IT procurement cycle
2026-08,North,P003,NetShield Plus,45761.19,32032.83,12.9,95,41185.07,50337.31,Optimistic estimate based on South expansion momentum
2026-08,North,P004,AnalyticsEdge,78360.72,47016.43,6.1,72,70524.65,86196.79,Back-to-school and IT procurement cycle
2026-08,North,P005,ConnectBridge,53241.53,36204.24,9.4,82,47917.38,58565.68,Enterprise contract renewals projected in Q3
2026-08,North,P006,StorageMax HDD,183615.26,82626.87,12.6,87,165253.73,201976.79,Enterprise contract renewals projected in Q3
2026-08,North,P007,ServerLink X1,279652.88,111861.15,9.9,85,251687.59,307618.17,YoY growth trajectory maintained from 2025 H2
2026-08,North,P008,CyberAudit Suite,107163.72,77157.88,7.1,77,96447.35,117880.09,Enterprise contract renewals projected in Q3
2026-08,North,P009,WorkflowPro,42806.54,28680.38,2.6,91,38525.89,47087.19,Enterprise contract renewals projected in Q3
2026-08,North,P010,InsightDash,71209.95,44862.27,4.7,82,64088.96,78330.95,Back-to-school and IT procurement cycle
2026-08,North,P011,APIGateway Pro,56610.16,39061.01,13.7,85,50949.14,62271.18,Supplier delay resolved -- full inventory restored
2026-08,North,P012,BackupCloud Ultra,34709.35,24643.64,12.1,91,31238.42,38180.29,Holiday budget allocation expected to boost sales
2026-08,South,P001,CloudSync Pro,62152.65,40399.22,9.9,76,55937.39,68367.92,Optimistic estimate based on South expansion momentum
2026-08,South,P002,DataVault Enterprise,114517.4,71000.79,12.4,89,103065.66,125969.14,Post-Q2 recovery driven by H2 seasonality
2026-08,South,P003,NetShield Plus,41082.42,28757.69,12.8,84,36974.18,45190.66,Conservative estimate pending East region recovery
2026-08,South,P004,AnalyticsEdge,87019.02,52211.41,2.6,87,78317.12,95720.92,YoY growth trajectory maintained from 2025 H2
2026-08,South,P005,ConnectBridge,56876.5,38676.02,13.7,86,51188.85,62564.15,Optimistic estimate based on South expansion momentum
2026-08,South,P006,StorageMax HDD,189716.2,85372.29,3.7,88,170744.58,208687.82,Supplier delay resolved -- full inventory restored
2026-08,South,P007,ServerLink X1,301226.81,120490.72,14.2,76,271104.13,331349.49,Holiday budget allocation expected to boost sales
2026-08,South,P008,CyberAudit Suite,120883.63,87036.21,2.6,79,108795.27,132971.99,Holiday budget allocation expected to boost sales
2026-08,South,P009,WorkflowPro,49853.46,33401.82,3.9,77,44868.11,54838.81,YoY growth trajectory maintained from 2025 H2
2026-08,South,P010,InsightDash,80877.36,50952.74,3.4,78,72789.62,88965.1,Marketing campaigns scheduled for Q4 2026
2026-08,South,P011,APIGateway Pro,62786.38,43322.6,6.3,84,56507.74,69065.02,Expected recovery following May 2026 stockout resolution
2026-08,South,P012,BackupCloud Ultra,32454.55,23042.73,8.5,87,29209.1,35700.01,Back-to-school and IT procurement cycle
2026-08,East,P001,CloudSync Pro,76146.59,49495.28,3.4,83,68531.93,83761.25,Post-Q2 recovery driven by H2 seasonality
2026-08,East,P002,DataVault Enterprise,127203.1,78865.92,3.5,90,114482.79,139923.41,Enterprise contract renewals projected in Q3
2026-08,East,P003,NetShield Plus,46194.57,32336.2,4.3,82,41575.11,50814.03,Optimistic estimate based on South expansion momentum
2026-08,East,P004,AnalyticsEdge,113906.8,68344.08,9.5,95,102516.12,125297.48,Expected recovery following May 2026 stockout resolution
2026-08,East,P005,ConnectBridge,61855.59,42061.8,8.7,78,55670.03,68041.15,Back-to-school and IT procurement cycle
2026-08,East,P006,StorageMax HDD,228242.25,102709.01,4.8,95,205418.02,251066.48,Enterprise contract renewals projected in Q3
2026-08,East,P007,ServerLink X1,322809.0,129123.6,12.7,81,290528.1,355089.9,Holiday budget allocation expected to boost sales
2026-08,East,P008,CyberAudit Suite,119074.6,85733.71,5.9,91,107167.14,130982.06,Post-Q2 recovery driven by H2 seasonality
2026-08,East,P009,WorkflowPro,55077.24,36901.75,8.4,72,49569.52,60584.96,Marketing campaigns scheduled for Q4 2026
2026-08,East,P010,InsightDash,92493.02,58270.6,8.9,76,83243.72,101742.32,Back-to-school and IT procurement cycle
2026-08,East,P011,APIGateway Pro,65326.9,45075.56,3.3,72,58794.21,71859.59,Marketing campaigns scheduled for Q4 2026
2026-08,East,P012,BackupCloud Ultra,33614.11,23866.02,3.4,96,30252.7,36975.52,Optimistic estimate based on South expansion momentum
2026-08,West,P001,CloudSync Pro,66722.72,43369.77,8.2,73,60050.45,73394.99,Conservative estimate pending East region recovery
2026-08,West,P002,DataVault Enterprise,120859.34,74932.79,14.2,74,108773.41,132945.27,Marketing campaigns scheduled for Q4 2026
2026-08,West,P003,NetShield Plus,37585.37,26309.76,14.0,77,33826.83,41343.91,Conservative estimate pending East region recovery
2026-08,West,P004,AnalyticsEdge,87732.75,52639.65,3.4,83,78959.48,96506.03,Supplier delay resolved -- full inventory restored
2026-08,West,P005,ConnectBridge,51933.35,35314.68,5.6,91,46740.01,57126.69,Expected recovery following May 2026 stockout resolution
2026-08,West,P006,StorageMax HDD,197004.76,88652.14,6.7,72,177304.28,216705.24,YoY growth trajectory maintained from 2025 H2
2026-08,West,P007,ServerLink X1,291306.08,116522.43,11.4,95,262175.47,320436.69,Expected recovery following May 2026 stockout resolution
2026-08,West,P008,CyberAudit Suite,92077.42,66295.74,12.5,80,82869.68,101285.16,Holiday budget allocation expected to boost sales
2026-08,West,P009,WorkflowPro,41521.2,27819.2,9.9,93,37369.08,45673.32,YoY growth trajectory maintained from 2025 H2
2026-08,West,P010,InsightDash,80137.83,50486.83,10.5,84,72124.05,88151.61,Post-Q2 recovery driven by H2 seasonality
2026-08,West,P011,APIGateway Pro,61217.58,42240.13,12.4,72,55095.82,67339.34,Post-Q2 recovery driven by H2 seasonality
2026-08,West,P012,BackupCloud Ultra,31175.49,22134.6,9.6,97,28057.94,34293.04,Post-Q2 recovery driven by H2 seasonality
2026-08,Central,P001,CloudSync Pro,66237.36,43054.28,6.3,81,59613.62,72861.1,Expected recovery following May 2026 stockout resolution
2026-08,Central,P002,DataVault Enterprise,129596.43,80349.79,14.3,96,116636.79,142556.07,Back-to-school and IT procurement cycle
2026-08,Central,P003,NetShield Plus,37937.76,26556.43,12.0,89,34143.98,41731.54,Enterprise contract renewals projected in Q3
2026-08,Central,P004,AnalyticsEdge,89278.1,53566.86,12.2,72,80350.29,98205.91,Back-to-school and IT procurement cycle
2026-08,Central,P005,ConnectBridge,59636.4,40552.75,7.2,77,53672.76,65600.04,Post-Q2 recovery driven by H2 seasonality
2026-08,Central,P006,StorageMax HDD,195710.36,88069.66,7.0,89,176139.32,215281.4,Conservative estimate pending East region recovery
2026-08,Central,P007,ServerLink X1,276355.67,110542.27,13.9,92,248720.1,303991.24,Post-Q2 recovery driven by H2 seasonality
2026-08,Central,P008,CyberAudit Suite,105184.91,75733.14,8.9,72,94666.42,115703.4,Enterprise contract renewals projected in Q3
2026-08,Central,P009,WorkflowPro,40728.48,27288.08,4.4,94,36655.63,44801.33,YoY growth trajectory maintained from 2025 H2
2026-08,Central,P010,InsightDash,73448.32,46272.44,13.3,81,66103.49,80793.15,Supplier delay resolved -- full inventory restored
2026-08,Central,P011,APIGateway Pro,66168.82,45656.49,5.0,78,59551.94,72785.7,Back-to-school and IT procurement cycle
